epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7476,2.4845,7.70776,0.02414,0.0061,0.33754,0.01353,0.00366,2.0227,7.26138,0.01843,0.000164502,0.000164502,0.000164502
2,74.5136,1.82588,6.47922,0.01582,0.75306,0.13843,0.17368,0.06819,1.8916,5.98805,0.01632,0.000298383,0.000298383,0.000298383
3,113.397,1.71336,5.09219,0.01423,0.4847,0.41859,0.37813,0.17675,1.70992,4.77879,0.0138,0.000399264,0.000399264,0.000399264
4,151.641,1.68725,4.15624,0.01385,0.54303,0.55482,0.54841,0.27365,1.70504,3.78021,0.0138,0.0003515,0.0003515,0.0003515
5,181.741,1.65168,3.49055,0.01345,0.60072,0.53999,0.57699,0.27266,1.73263,3.41618,0.01395,0.000302,0.000302,0.000302
6,220.948,1.64405,3.13431,0.01333,0.55678,0.6325,0.64206,0.34213,1.60491,2.93314,0.01273,0.0002525,0.0002525,0.0002525
7,259.985,1.6105,2.8435,0.01296,0.59676,0.70195,0.70261,0.38127,1.59194,2.6735,0.01255,0.000203,0.000203,0.000203
8,301.182,1.56822,2.6273,0.01263,0.63749,0.69181,0.71704,0.38764,1.59348,2.56087,0.01246,0.0001535,0.0001535,0.0001535
9,339.681,1.56595,2.48874,0.0126,0.64699,0.71168,0.73019,0.40115,1.57914,2.41343,0.01238,0.000104,0.000104,0.000104
10,378.572,1.53687,2.40349,0.01223,0.6223,0.72199,0.73835,0.40453,1.57307,2.35972,0.01226,5.45e-05,5.45e-05,5.45e-05
